playerId,player,team,position,age,exp,bye,lower,upper,sdPts,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,games,points,vor,vorLow,vorHigh,overallRank,positionRank,ptsGame,vorGame,vorGameLow,vorGameHigh,adp,auctionValue,adpDiff,cost,ppdollar
2560957,Mark Andrews,BAL,TE,24,2,NA,118.4309985,139.2264221,9.503505385,8.264578976,3,20.79542364,28.7,3,0.3,2.417887097,NA,16,129.9748371,31.35584736,35.87686637,26.36576683,55,3,8.123427321,1.95974046,2.242304148,1.647860427,70.68,18.02,-15.68,19,6.840780902
2543509,Allen Robinson,CHI,WR,27,6,NA,142.2309985,165.6164228,11.09325132,2.103216641,5,23.38542434,30.3,12.4,4.1,3.457075648,NA,16,151.8401342,30.89940858,42.22123659,27.44384029,56,19,9.490008385,1.862288003,2.638827287,1.715240018,46.32,22.905,9.68,23,6.601744964
2540158,Zach Ertz,PHI,TE,30,7,NA,109.2097988,142.7089698,14.30534603,17.12277664,3,33.49917097,48.9,4.3,0.5,2.494938349,NA,16,128.94317,30.32418019,26.65566667,29.84831447,57,4,8.058948123,1.895261262,1.665979167,1.865519654,43.6,14.69,13.4,15,8.596211331
2552430,Tyler Lockett,SEA,WR,28,5,NA,139.383997,159.5776519,8.231753253,3.306690647,5,20.19365491,42.3,19,4,3.441183133,NA,16,150.814741,29.8740154,39.3742351,21.40506938,58,20,9.425921311,1.798200929,2.460889694,1.337816836,53.5067,10.765,4.4933,11,13.710431
2562382,Kyler Murray,ARI,QB,50,1,NA,336.7239348,403.7728145,36.55878264,5.793218375,3,67.04887967,60.5,4.9,1.1,5.062915488,NA,16,370.6133349,28.47734113,24.27554589,36.93123836,60,7,23.16333343,1.77983382,1.517221618,2.308202397,70.6033,16.595,-10.6033,17,21.80078441
2560854,Calvin Ridley,ATL,WR,26,2,NA,135.6217295,163.1529226,12.24894934,2.50761898,5,27.53119317,37.2,16,3.6,3.377613071,NA,16,148.6590941,27.71836849,35.61196754,24.98034008,61,21,9.291193379,1.663472996,2.225747971,1.561271255,52.3733,14.52,8.6267,15,9.910606271
2504211,Tom Brady,TB,QB,43,20,NA,311.6488708,407.8858227,42.09793612,9.791612978,3,96.23695188,97.5,11.8,3,6.690862585,NA,16,369.7075136,27.5715198,-0.799518116,41.04424655,62,8,23.1067196,1.723219988,-0.049969882,2.56526541,95.2533,7.575,-33.2533,8,46.2134392
2562489,Terry McLaurin,WAS,WR,50,1,NA,129.961997,160.961012,12.26690723,0.776421243,5,30.99901495,47.5,21.5,4.6,3.536538226,NA,16,146.3570066,25.41628102,29.9522351,22.78842941,63,22,9.147312913,1.51959253,1.872014694,1.424276838,60.885,10.575,2.115,11,13.30518242
2558245,Harrison Butker,KC,K,25,3,NA,134.32,150.2975089,10.45021273,3.63,1,15.9775089,170.8,1.5,0.6,2.830526887,NA,16,141.8813293,25.0813221,26.50666667,26.67343209,64,1,8.867583081,1.567582631,1.656666667,1.667089506,130.23,3.5,-66.23,4,35.47033232
2532865,T.Y. Hilton,IND,WR,31,8,NA,134.464997,155.5726334,9.895328023,1.908559605,5,21.10763636,54.9,24.5,4.1,3.457075648,NA,16,145.9459436,25.00521799,34.4552351,17.40005083,65,23,9.121621473,1.49390109,2.153452194,1.087503177,63.0833,9.61,1.9167,10,14.59459436
